Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00     366 5.479e-03

rx  -  ry  -  vx  -  vy
-5.580741e+01  -1.530049e+01  -1.213169e+02  -3.326128e+01
-5.647216e+01  -1.548275e+01  -1.213169e+02  -3.326126e+01
-5.713691e+01  -1.566500e+01  -1.213168e+02  -3.326125e+01
-5.780166e+01  -1.584725e+01  -1.213167e+02  -3.326123e+01
-5.846641e+01  -1.602951e+01  -1.213167e+02  -3.326121e+01
-5.913115e+01  -1.621176e+01  -1.213166e+02  -3.326120e+01
-5.979590e+01  -1.639401e+01  -1.213166e+02  -3.326118e+01
-6.046065e+01  -1.657627e+01  -1.213165e+02  -3.326117e+01
-6.112540e+01  -1.675852e+01  -1.213165e+02  -3.326115e+01
-6.179015e+01  -1.694077e+01  -1.213164e+02  -3.326114e+01
-6.245489e+01  -1.712302e+01  -1.213164e+02  -3.326113e+01
-6.311964e+01  -1.730528e+01  -1.213163e+02  -3.326111e+01
-6.378439e+01  -1.748753e+01  -1.213163e+02  -3.326110e+01
-6.444913e+01  -1.766978e+01  -1.213162e+02  -3.326109e+01
-6.511388e+01  -1.785204e+01  -1.213162e+02  -3.326107e+01
-6.577863e+01  -1.803429e+01  -1.213161e+02  -3.326106e+01
-6.644337e+01  -1.821654e+01  -1.213161e+02  -3.326105e+01
-6.710812e+01  -1.839879e+01  -1.213160e+02  -3.326104e+01
-6.777286e+01  -1.858104e+01  -1.213160e+02  -3.326103e+01
-6.843761e+01  -1.876330e+01  -1.213159e+02  -3.326101e+01
-6.910235e+01  -1.894555e+01  -1.213159e+02  -3.326100e+01
-6.976710e+01  -1.912780e+01  -1.213159e+02  -3.326099e+01
-7.043184e+01  -1.931005e+01  -1.213158e+02  -3.326098e+01
-7.109659e+01  -1.949230e+01  -1.213158e+02  -3.326097e+01
-7.176133e+01  -1.967456e+01  -1.213158e+02  -3.326096e+01
-7.242607e+01  -1.985681e+01  -1.213157e+02  -3.326095e+01
-7.309082e+01  -2.003906e+01  -1.213157e+02  -3.326094e+01
-7.375556e+01  -2.022131e+01  -1.213156e+02  -3.326093e+01
-7.442030e+01  -2.040356e+01  -1.213156e+02  -3.326092e+01
-7.508505e+01  -2.058582e+01  -1.213156e+02  -3.326091e+01
-7.574979e+01  -2.076807e+01  -1.213155e+02  -3.326090e+01
-7.641453e+01  -2.095032e+01  -1.213155e+02  -3.326089e+01
-7.707927e+01  -2.113257e+01  -1.213155e+02  -3.326088e+01
-7.774402e+01  -2.131482e+01  -1.213154e+02  -3.326087e+01
-7.840876e+01  -2.149707e+01  -1.213154e+02  -3.326087e+01
-7.907350e+01  -2.167932e+01  -1.213154e+02  -3.326086e+01
-7.973824e+01  -2.186158e+01  -1.213153e+02  -3.326085e+01
-8.040298e+01  -2.204383e+01  -1.213153e+02  -3.326084e+01
-8.106773e+01  -2.222608e+01  -1.213153e+02  -3.326083e+01
-8.173247e+01  -2.240833e+01  -1.213153e+02  -3.326082e+01
-8.239721e+01  -2.259058e+01  -1.213152e+02  -3.326082e+01
-8.306195e+01  -2.277283e+01  -1.213152e+02  -3.326081e+01
-8.372669e+01  -2.295508e+01  -1.213152e+02  -3.326080e+01
-8.439143e+01  -2.313733e+01  -1.213151e+02  -3.326079e+01
-8.505617e+01  -2.331958e+01  -1.213151e+02  -3.326079e+01
-8.572091e+01  -2.350183e+01  -1.213151e+02  -3.326078e+01
-8.638565e+01  -2.368409e+01  -1.213151e+02  -3.326077e+01
-8.705039e+01  -2.386634e+01  -1.213150e+02  -3.326076e+01
-8.771513e+01  -2.404859e+01  -1.213150e+02  -3.326076e+01
-8.837987e+01  -2.423084e+01  -1.213150e+02  -3.326075e+01
-8.904461e+01  -2.441309e+01  -1.213150e+02  -3.326074e+01
-8.970935e+01  -2.459534e+01  -1.213149e+02  -3.326074e+01
-9.037409e+01  -2.477759e+01  -1.213149e+02  -3.326073e+01
-9.103883e+01  -2.495984e+01  -1.213149e+02  -3.326072e+01
-9.170357e+01  -2.514209e+01  -1.213149e+02  -3.326072e+01
-9.236831e+01  -2.532434e+01  -1.213148e+02  -3.326071e+01
-9.303304e+01  -2.550659e+01  -1.213148e+02  -3.326071e+01
-9.369778e+01  -2.568884e+01  -1.213148e+02  -3.326070e+01
-9.436252e+01  -2.587109e+01  -1.213148e+02  -3.326069e+01
-9.502726e+01  -2.605334e+01  -1.213148e+02  -3.326069e+01
-9.569200e+01  -2.623559e+01  -1.213147e+02  -3.326068e+01
-9.635674e+01  -2.641784e+01  -1.213147e+02  -3.326068e+01
-9.702147e+01  -2.660009e+01  -1.213147e+02  -3.326067e+01
-9.768621e+01  -2.678234e+01  -1.213147e+02  -3.326066e+01
-9.835095e+01  -2.696459e+01  -1.213147e+02  -3.326066e+01
-9.901569e+01  -2.714684e+01  -1.213146e+02  -3.326065e+01
-9.968043e+01  -2.732909e+01  -1.213146e+02  -3.326065e+01
-1.003452e+02  -2.751134e+01  -1.213146e+02  -3.326064e+01
-1.010099e+02  -2.769359e+01  -1.213146e+02  -3.326064e+01
-1.016746e+02  -2.787584e+01  -1.213146e+02  -3.326063e+01
