Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00    1826 1.096e-03

rx  -  ry  -  vx  -  vy
4.885269e-01   8.725558e-01  -5.482331e+00   3.069525e+00
4.825073e-01   8.758990e-01  -5.503336e+00   3.031703e+00
4.764648e-01   8.792006e-01  -5.524081e+00   2.993737e+00
4.703997e-01   8.824606e-01  -5.544563e+00   2.955629e+00
4.643123e-01   8.856787e-01  -5.564782e+00   2.917382e+00
4.582029e-01   8.888548e-01  -5.584738e+00   2.878996e+00
4.520718e-01   8.919888e-01  -5.604428e+00   2.840473e+00
4.459193e-01   8.950805e-01  -5.623853e+00   2.801816e+00
4.397456e-01   8.981298e-01  -5.643012e+00   2.763026e+00
4.335510e-01   9.011365e-01  -5.661902e+00   2.724105e+00
4.273359e-01   9.041004e-01  -5.680525e+00   2.685055e+00
4.211005e-01   9.070215e-01  -5.698878e+00   2.645878e+00
4.148452e-01   9.098996e-01  -5.716961e+00   2.606575e+00
4.085702e-01   9.127346e-01  -5.734772e+00   2.567148e+00
4.022759e-01   9.155262e-01  -5.752312e+00   2.527600e+00
3.959624e-01   9.182745e-01  -5.769579e+00   2.487932e+00
3.896302e-01   9.209792e-01  -5.786573e+00   2.448146e+00
3.832795e-01   9.236403e-01  -5.803292e+00   2.408245e+00
3.769107e-01   9.262576e-01  -5.819736e+00   2.368228e+00
3.705239e-01   9.288310e-01  -5.835904e+00   2.328100e+00
3.641196e-01   9.313603e-01  -5.851796e+00   2.287861e+00
3.576981e-01   9.338454e-01  -5.867410e+00   2.247514e+00
3.512596e-01   9.362863e-01  -5.882746e+00   2.207060e+00
3.448044e-01   9.386828e-01  -5.897803e+00   2.166502e+00
3.383329e-01   9.410348e-01  -5.912580e+00   2.125841e+00
3.318453e-01   9.433422e-01  -5.927077e+00   2.085079e+00
3.253420e-01   9.456049e-01  -5.941293e+00   2.044218e+00
3.188233e-01   9.478227e-01  -5.955227e+00   2.003260e+00
3.122895e-01   9.499956e-01  -5.968879e+00   1.962208e+00
3.057408e-01   9.521234e-01  -5.982248e+00   1.921062e+00
2.991777e-01   9.542061e-01  -5.995333e+00   1.879825e+00
2.926004e-01   9.562436e-01  -6.008134e+00   1.838500e+00
2.860092e-01   9.582357e-01  -6.020650e+00   1.797087e+00
2.794044e-01   9.601824e-01  -6.032881e+00   1.755588e+00
2.727864e-01   9.620836e-01  -6.044826e+00   1.714007e+00
2.661555e-01   9.639391e-01  -6.056484e+00   1.672344e+00
2.595119e-01   9.657490e-01  -6.067855e+00   1.630602e+00
2.528561e-01   9.675131e-01  -6.078938e+00   1.588783e+00
2.461882e-01   9.692313e-01  -6.089733e+00   1.546889e+00
2.395087e-01   9.709035e-01  -6.100239e+00   1.504921e+00
2.328178e-01   9.725297e-01  -6.110456e+00   1.462882e+00
2.261159e-01   9.741098e-01  -6.120384e+00   1.420773e+00
2.194033e-01   9.756437e-01  -6.130021e+00   1.378597e+00
2.126803e-01   9.771314e-01  -6.139368e+00   1.336356e+00
2.059472e-01   9.785727e-01  -6.148423e+00   1.294051e+00
1.992043e-01   9.799677e-01  -6.157187e+00   1.251685e+00
1.924520e-01   9.813162e-01  -6.165659e+00   1.209260e+00
1.856905e-01   9.826181e-01  -6.173839e+00   1.166777e+00
1.789203e-01   9.838735e-01  -6.181726e+00   1.124239e+00
1.721415e-01   9.850822e-01  -6.189320e+00   1.081648e+00
1.653546e-01   9.862442e-01  -6.196620e+00   1.039006e+00
1.585599e-01   9.873595e-01  -6.203627e+00   9.963139e-01
1.517576e-01   9.884279e-01  -6.210340e+00   9.535749e-01
1.449482e-01   9.894495e-01  -6.216758e+00   9.107907e-01
1.381319e-01   9.904242e-01  -6.222881e+00   8.679634e-01
1.313090e-01   9.913519e-01  -6.228710e+00   8.250949e-01
1.244799e-01   9.922326e-01  -6.234243e+00   7.821873e-01
1.176449e-01   9.930663e-01  -6.239480e+00   7.392427e-01
1.108043e-01   9.938528e-01  -6.244422e+00   6.962630e-01
1.039585e-01   9.945923e-01  -6.249067e+00   6.532503e-01
9.710773e-02   9.952846e-01  -6.253417e+00   6.102066e-01
9.025237e-02   9.959298e-01  -6.257470e+00   5.671340e-01
8.339273e-02   9.965277e-01  -6.261226e+00   5.240346e-01
7.652914e-02   9.970783e-01  -6.264685e+00   4.809103e-01
6.966191e-02   9.975817e-01  -6.267847e+00   4.377632e-01
6.279139e-02   9.980378e-01  -6.270712e+00   3.945954e-01
5.591789e-02   9.984466e-01  -6.273280e+00   3.514088e-01
4.904173e-02   9.988080e-01  -6.275551e+00   3.082057e-01
4.216326e-02   9.991221e-01  -6.277524e+00   2.649879e-01
3.528278e-02   9.993888e-01  -6.279199e+00   2.217575e-01
2.840063e-02   9.996081e-01  -6.280576e+00   1.785167e-01
2.151713e-02   9.997801e-01  -6.281656e+00   1.352674e-01
1.463261e-02   9.999046e-01  -6.282438e+00   9.201174e-02
7.747404e-03   9.999818e-01  -6.282922e+00   4.875170e-02
8.618257e-04   1.000011e+00  -6.283108e+00   5.489358e-03
-6.023793e-03   9.999938e-01  -6.282997e+00  -3.777323e-02
-1.290913e-02   9.999287e-01  -6.282587e+00  -8.103402e-02
-1.979385e-02   9.998162e-01  -6.281880e+00  -1.242910e-01
-2.667763e-02   9.996563e-01  -6.280875e+00  -1.675420e-01
-3.356015e-02   9.994490e-01  -6.279572e+00  -2.107851e-01
-4.044107e-02   9.991943e-01  -6.277971e+00  -2.540181e-01
-4.732008e-02   9.988922e-01  -6.276073e+00  -2.972392e-01
-5.419685e-02   9.985428e-01  -6.273877e+00  -3.404461e-01
-6.107105e-02   9.981460e-01  -6.271383e+00  -3.836369e-01
-6.794235e-02   9.977019e-01  -6.268592e+00  -4.268094e-01
-7.481043e-02   9.972105e-01  -6.265505e+00  -4.699617e-01
-8.167496e-02   9.966719e-01  -6.262120e+00  -5.130918e-01
-8.853562e-02   9.960860e-01  -6.258438e+00  -5.561975e-01
-9.539208e-02   9.954528e-01  -6.254459e+00  -5.992768e-01
-1.022440e-01   9.947725e-01  -6.250184e+00  -6.423277e-01
-1.090911e-01   9.940450e-01  -6.245613e+00  -6.853481e-01
-1.159330e-01   9.932703e-01  -6.240745e+00  -7.283360e-01
-1.227695e-01   9.924486e-01  -6.235582e+00  -7.712894e-01
-1.296001e-01   9.915799e-01  -6.230123e+00  -8.142062e-01
-1.364245e-01   9.906641e-01  -6.224368e+00  -8.570844e-01
-1.432425e-01   9.897013e-01  -6.218319e+00  -8.999219e-01
-1.500537e-01   9.886916e-01  -6.211974e+00  -9.427168e-01
-1.568578e-01   9.876351e-01  -6.205336e+00  -9.854670e-01
-1.636545e-01   9.865317e-01  -6.198403e+00  -1.028170e+00
-1.704433e-01   9.853816e-01  -6.191176e+00  -1.070825e+00
