Method       t0       tn       N         h  beta      Time used [s]
Verlet        0  1.0e+01  100000 1.000e-04  2.000000       0.028893

x  -  y  -  z  .........
  -2.931609e-06   8.512694e-07  -8.594941e-11   9.768446e-01  -2.836524e-01   2.863930e-05
  -2.972521e-06   6.703070e-07  -7.167112e-11   9.904769e-01  -2.233537e-01   2.388161e-05
  -3.002225e-06   4.868179e-07  -5.712264e-11   1.000375e+00  -1.622131e-01   1.903390e-05
  -3.020545e-06   3.014835e-07  -4.235763e-11   1.006479e+00  -1.004576e-01   1.411403e-05
  -3.027345e-06   1.150000e-07  -2.743112e-11   1.008745e+00  -3.831928e-02   9.140354e-06
  -3.022531e-06  -7.192397e-08  -1.239943e-11   1.007141e+00   2.396587e-02   4.131628e-06
  -3.006049e-06  -2.585696e-07   2.680062e-12   1.001649e+00   8.615825e-02  -8.930265e-07
  -2.977892e-06  -4.442101e-07   1.774909e-11   9.922668e-01   1.480158e-01  -5.914192e-06
  -2.938097e-06  -6.281138e-07   3.274867e-11   9.790064e-01   2.092945e-01  -1.091222e-05
  -2.886745e-06  -8.095461e-07   4.761939e-11   9.618954e-01   2.697497e-01  -1.586731e-05
  -2.823966e-06  -9.877731e-07   6.230155e-11   9.409768e-01   3.291370e-01  -2.075957e-05
  -2.749937e-06  -1.162064e-06   7.673545e-11   9.163097e-01   3.872127e-01  -2.556910e-05
  -2.664884e-06  -1.331696e-06   9.086164e-11   8.879690e-01   4.437358e-01  -3.027611e-05
  -2.569079e-06  -1.495954e-06   1.046212e-10   8.560458e-01   4.984684e-01  -3.486094e-05
  -2.462845e-06  -1.654137e-06   1.179559e-10   8.206471e-01   5.511769e-01  -3.930421e-05
  -2.346549e-06  -1.805563e-06   1.308087e-10   7.818963e-01   6.016336e-01  -4.358691e-05
  -2.220611e-06  -1.949567e-06   1.431238e-10   7.399321e-01   6.496175e-01  -4.769045e-05
  -2.085492e-06  -2.085512e-06   1.548472e-10   6.949091e-01   6.949156e-01  -5.159682e-05
  -1.941703e-06  -2.212784e-06   1.659268e-10   6.469969e-01   7.373241e-01  -5.528864e-05
  -1.789796e-06  -2.330804e-06   1.763125e-10   5.963799e-01   7.766498e-01  -5.874929e-05
  -1.630367e-06  -2.439027e-06   1.859571e-10   5.432563e-01   8.127109e-01  -6.196299e-05
  -1.464051e-06  -2.536946e-06   1.948162e-10   4.878380e-01   8.453387e-01  -6.491492e-05
