Method       t0       tn       N         h
Verlet        0  2.0e+00    1000 2.002e-03

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -9.383592e-07  -2.809019e-06   2.198137e-10   1.815404e-05  -5.952863e-06   5.869302e-10   3.119523e-01   9.352450e-01  -7.318838e-05  -6.061356e+00   1.964642e+00  -1.941268e-04
  -9.019375e-07  -2.820705e-06   2.209706e-10   1.822927e-05  -5.722995e-06   5.689330e-10   2.997917e-01   9.391011e-01  -7.357098e-05  -6.086587e+00   1.887336e+00  -1.880738e-04
  -8.653682e-07  -2.831930e-06   2.220913e-10   1.830153e-05  -5.492168e-06   5.508410e-10   2.875816e-01   9.428019e-01  -7.394142e-05  -6.110820e+00   1.809693e+00  -1.819878e-04
  -8.286572e-07  -2.842691e-06   2.231758e-10   1.837081e-05  -5.260423e-06   5.326574e-10   2.753240e-01   9.463471e-01  -7.429966e-05  -6.134052e+00   1.731726e+00  -1.758698e-04
  -7.918105e-07  -2.852988e-06   2.242238e-10   1.843709e-05  -5.027800e-06   5.143853e-10   2.630208e-01   9.497358e-01  -7.464561e-05  -6.156276e+00   1.653449e+00  -1.697208e-04
  -7.548341e-07  -2.862818e-06   2.252350e-10   1.850037e-05  -4.794338e-06   4.960278e-10   2.506742e-01   9.529675e-01  -7.497922e-05  -6.177490e+00   1.574875e+00  -1.635418e-04
  -7.177342e-07  -2.872180e-06   2.262095e-10   1.856062e-05  -4.560080e-06   4.775882e-10   2.382861e-01   9.560416e-01  -7.530043e-05  -6.197688e+00   1.496017e+00  -1.573341e-04
  -6.805166e-07  -2.881072e-06   2.271469e-10   1.861785e-05  -4.325064e-06   4.590696e-10   2.258587e-01   9.589575e-01  -7.560918e-05  -6.216866e+00   1.416889e+00  -1.510985e-04
  -6.431875e-07  -2.889493e-06   2.280472e-10   1.867204e-05  -4.089333e-06   4.404753e-10   2.133938e-01   9.617148e-01  -7.590543e-05  -6.235021e+00   1.337505e+00  -1.448361e-04
  -6.057531e-07  -2.897441e-06   2.289102e-10   1.872318e-05  -3.852927e-06   4.218086e-10   2.008936e-01   9.643129e-01  -7.618911e-05  -6.252149e+00   1.257877e+00  -1.385480e-04
