Method       t0       tn       N         h
 Euler        0        1   10000    0.0001

x  -  y  -  z  -  vx  -  vy  -  vz .........
  -2.860684e-06  -8.920149e-07   5.439513e-11   5.914121e-06  -1.793363e-05   1.474932e-09   9.532116e-01   2.972293e-01  -1.812506e-05  -1.970651e+00   5.975685e+00  -4.914637e-04
  -2.860092e-06  -8.938085e-07   5.454263e-11   5.925467e-06  -1.793009e-05   1.474716e-09   9.530145e-01   2.978269e-01  -1.817421e-05  -1.974431e+00   5.974506e+00  -4.913918e-04
  -2.859500e-06  -8.956016e-07   5.469012e-11   5.936811e-06  -1.792655e-05   1.474500e-09   9.528170e-01   2.984244e-01  -1.822335e-05  -1.978211e+00   5.973325e+00  -4.913197e-04
  -2.858906e-06  -8.973945e-07   5.483758e-11   5.948154e-06  -1.792300e-05   1.474283e-09   9.526192e-01   2.990218e-01  -1.827249e-05  -1.981991e+00   5.972141e+00  -4.912475e-04
  -2.858311e-06  -8.991870e-07   5.498503e-11   5.959494e-06  -1.791944e-05   1.474065e-09   9.524210e-01   2.996191e-01  -1.832162e-05  -1.985770e+00   5.970955e+00  -4.911750e-04
  -2.857715e-06  -9.009791e-07   5.513245e-11   5.970832e-06  -1.791587e-05   1.473847e-09   9.522224e-01   3.002162e-01  -1.837074e-05  -1.989548e+00   5.969766e+00  -4.911023e-04
  -2.857118e-06  -9.027709e-07   5.527985e-11   5.982169e-06  -1.791229e-05   1.473629e-09   9.520234e-01   3.008133e-01  -1.841986e-05  -1.993325e+00   5.968575e+00  -4.910294e-04
  -2.856520e-06  -9.045623e-07   5.542723e-11   5.993503e-06  -1.790871e-05   1.473409e-09   9.518241e-01   3.014102e-01  -1.846897e-05  -1.997102e+00   5.967382e+00  -4.909564e-04
  -2.855920e-06  -9.063533e-07   5.557458e-11   6.004835e-06  -1.790512e-05   1.473189e-09   9.516243e-01   3.020070e-01  -1.851807e-05  -2.000878e+00   5.966186e+00  -4.908831e-04
  -2.855320e-06  -9.081440e-07   5.572192e-11   6.016165e-06  -1.790153e-05   1.472969e-09   9.514242e-01   3.026037e-01  -1.856716e-05  -2.004653e+00   5.964988e+00  -4.908096e-04
  -2.854718e-06  -9.099343e-07   5.586923e-11   6.027493e-06  -1.789793e-05   1.472748e-09   9.512237e-01   3.032002e-01  -1.861625e-05  -2.008428e+00   5.963788e+00  -4.907360e-04
  -2.854115e-06  -9.117243e-07   5.601652e-11   6.038819e-06  -1.789432e-05   1.472526e-09   9.510229e-01   3.037967e-01  -1.866533e-05  -2.012202e+00   5.962585e+00  -4.906621e-04
  -2.853511e-06  -9.135139e-07   5.616378e-11   6.050143e-06  -1.789070e-05   1.472304e-09   9.508216e-01   3.043930e-01  -1.871440e-05  -2.015975e+00   5.961379e+00  -4.905880e-04
  -2.852906e-06  -9.153032e-07   5.631103e-11   6.061465e-06  -1.788707e-05   1.472081e-09   9.506200e-01   3.049892e-01  -1.876346e-05  -2.019748e+00   5.960172e+00  -4.905138e-04
  -2.852300e-06  -9.170921e-07   5.645825e-11   6.072785e-06  -1.788344e-05   1.471858e-09   9.504180e-01   3.055853e-01  -1.881252e-05  -2.023519e+00   5.958961e+00  -4.904393e-04
  -2.851693e-06  -9.188806e-07   5.660545e-11   6.084103e-06  -1.787980e-05   1.471634e-09   9.502156e-01   3.061812e-01  -1.886156e-05  -2.027291e+00   5.957749e+00  -4.903647e-04
  -2.851084e-06  -9.206687e-07   5.675263e-11   6.095419e-06  -1.787616e-05   1.471409e-09   9.500129e-01   3.067770e-01  -1.891061e-05  -2.031061e+00   5.956534e+00  -4.902898e-04
  -2.850475e-06  -9.224565e-07   5.689979e-11   6.106733e-06  -1.787250e-05   1.471184e-09   9.498098e-01   3.073728e-01  -1.895964e-05  -2.034831e+00   5.955317e+00  -4.902148e-04
  -2.849864e-06  -9.242440e-07   5.704692e-11   6.118044e-06  -1.786884e-05   1.470958e-09   9.496063e-01   3.079683e-01  -1.900867e-05  -2.038600e+00   5.954097e+00  -4.901396e-04
  -2.849252e-06  -9.260310e-07   5.719403e-11   6.129354e-06  -1.786518e-05   1.470732e-09   9.494024e-01   3.085638e-01  -1.905769e-05  -2.042369e+00   5.952875e+00  -4.900641e-04
  -2.848639e-06  -9.278177e-07   5.734112e-11   6.140661e-06  -1.786150e-05   1.470505e-09   9.491981e-01   3.091592e-01  -1.910670e-05  -2.046137e+00   5.951650e+00  -4.899885e-04
  -2.848025e-06  -9.296040e-07   5.748818e-11   6.151967e-06  -1.785782e-05   1.470277e-09   9.489935e-01   3.097544e-01  -1.915570e-05  -2.049904e+00   5.950423e+00  -4.899127e-04
  -2.847410e-06  -9.313900e-07   5.763522e-11   6.163270e-06  -1.785413e-05   1.470049e-09   9.487885e-01   3.103495e-01  -1.920470e-05  -2.053670e+00   5.949194e+00  -4.898366e-04
  -2.846793e-06  -9.331756e-07   5.778224e-11   6.174571e-06  -1.785043e-05   1.469820e-09   9.485831e-01   3.109445e-01  -1.925369e-05  -2.057436e+00   5.947962e+00  -4.897604e-04
  -2.846176e-06  -9.349608e-07   5.792924e-11   6.185870e-06  -1.784673e-05   1.469591e-09   9.483773e-01   3.115393e-01  -1.930267e-05  -2.061201e+00   5.946728e+00  -4.896840e-04
  -2.845557e-06  -9.367457e-07   5.807622e-11   6.197167e-06  -1.784302e-05   1.469361e-09   9.481712e-01   3.121341e-01  -1.935164e-05  -2.064965e+00   5.945491e+00  -4.896074e-04
  -2.844937e-06  -9.385301e-07   5.822317e-11   6.208462e-06  -1.783930e-05   1.469130e-09   9.479647e-01   3.127287e-01  -1.940061e-05  -2.068728e+00   5.944252e+00  -4.895306e-04
  -2.844316e-06  -9.403143e-07   5.837009e-11   6.219755e-06  -1.783557e-05   1.468899e-09   9.477578e-01   3.133231e-01  -1.944956e-05  -2.072491e+00   5.943011e+00  -4.894536e-04
  -2.843694e-06  -9.420980e-07   5.851700e-11   6.231045e-06  -1.783184e-05   1.468668e-09   9.475505e-01   3.139175e-01  -1.949851e-05  -2.076253e+00   5.941767e+00  -4.893764e-04
  -2.843071e-06  -9.438814e-07   5.866388e-11   6.242334e-06  -1.782810e-05   1.468435e-09   9.473429e-01   3.145117e-01  -1.954746e-05  -2.080015e+00   5.940521e+00  -4.892990e-04
  -2.842447e-06  -9.456643e-07   5.881074e-11   6.253620e-06  -1.782435e-05   1.468202e-09   9.471348e-01   3.151059e-01  -1.959639e-05  -2.083776e+00   5.939273e+00  -4.892214e-04
  -2.841821e-06  -9.474470e-07   5.895757e-11   6.264904e-06  -1.782060e-05   1.467969e-09   9.469264e-01   3.156998e-01  -1.964532e-05  -2.087536e+00   5.938022e+00  -4.891436e-04
  -2.841195e-06  -9.492292e-07   5.910438e-11   6.276186e-06  -1.781684e-05   1.467735e-09   9.467177e-01   3.162937e-01  -1.969424e-05  -2.091295e+00   5.936768e+00  -4.890656e-04
  -2.840567e-06  -9.510111e-07   5.925117e-11   6.287466e-06  -1.781307e-05   1.467500e-09   9.465085e-01   3.168874e-01  -1.974315e-05  -2.095054e+00   5.935513e+00  -4.889874e-04
  -2.839938e-06  -9.527925e-07   5.939794e-11   6.298744e-06  -1.780929e-05   1.467265e-09   9.462990e-01   3.174811e-01  -1.979205e-05  -2.098811e+00   5.934255e+00  -4.889090e-04
  -2.839308e-06  -9.545737e-07   5.954468e-11   6.310020e-06  -1.780551e-05   1.467029e-09   9.460891e-01   3.180745e-01  -1.984095e-05  -2.102569e+00   5.932994e+00  -4.888304e-04
  -2.838677e-06  -9.563544e-07   5.969140e-11   6.321293e-06  -1.780172e-05   1.466793e-09   9.458788e-01   3.186679e-01  -1.988984e-05  -2.106325e+00   5.931731e+00  -4.887516e-04
  -2.838045e-06  -9.581347e-07   5.983809e-11   6.332565e-06  -1.779792e-05   1.466556e-09   9.456682e-01   3.192611e-01  -1.993872e-05  -2.110081e+00   5.930466e+00  -4.886727e-04
  -2.837412e-06  -9.599147e-07   5.998476e-11   6.343834e-06  -1.779412e-05   1.466318e-09   9.454571e-01   3.198542e-01  -1.998759e-05  -2.113836e+00   5.929198e+00  -4.885935e-04
  -2.836777e-06  -9.616943e-07   6.013141e-11   6.355101e-06  -1.779031e-05   1.466080e-09   9.452457e-01   3.204472e-01  -2.003645e-05  -2.117590e+00   5.927928e+00  -4.885141e-04
  -2.836142e-06  -9.634735e-07   6.027803e-11   6.366365e-06  -1.778649e-05   1.465841e-09   9.450339e-01   3.210401e-01  -2.008531e-05  -2.121344e+00   5.926655e+00  -4.884346e-04
  -2.835505e-06  -9.652523e-07   6.042463e-11   6.377628e-06  -1.778266e-05   1.465602e-09   9.448218e-01   3.216328e-01  -2.013416e-05  -2.125096e+00   5.925381e+00  -4.883548e-04
  -2.834867e-06  -9.670308e-07   6.057120e-11   6.388888e-06  -1.777883e-05   1.465362e-09   9.446093e-01   3.222254e-01  -2.018300e-05  -2.128848e+00   5.924103e+00  -4.882748e-04
  -2.834228e-06  -9.688088e-07   6.071775e-11   6.400146e-06  -1.777499e-05   1.465121e-09   9.443963e-01   3.228179e-01  -2.023183e-05  -2.132600e+00   5.922824e+00  -4.881947e-04
  -2.833588e-06  -9.705865e-07   6.086428e-11   6.411402e-06  -1.777114e-05   1.464880e-09   9.441831e-01   3.234102e-01  -2.028065e-05  -2.136350e+00   5.921542e+00  -4.881143e-04
  -2.832947e-06  -9.723638e-07   6.101078e-11   6.422656e-06  -1.776729e-05   1.464638e-09   9.439694e-01   3.240024e-01  -2.032947e-05  -2.140100e+00   5.920257e+00  -4.880338e-04
  -2.832305e-06  -9.741407e-07   6.115726e-11   6.433908e-06  -1.776342e-05   1.464396e-09   9.437554e-01   3.245945e-01  -2.037828e-05  -2.143850e+00   5.918970e+00  -4.879531e-04
  -2.831661e-06  -9.759172e-07   6.130372e-11   6.445157e-06  -1.775956e-05   1.464153e-09   9.435410e-01   3.251865e-01  -2.042708e-05  -2.147598e+00   5.917681e+00  -4.878721e-04
  -2.831017e-06  -9.776934e-07   6.145015e-11   6.456404e-06  -1.775568e-05   1.463910e-09   9.433262e-01   3.257783e-01  -2.047587e-05  -2.151346e+00   5.916389e+00  -4.877910e-04
  -2.830371e-06  -9.794691e-07   6.159655e-11   6.467649e-06  -1.775180e-05   1.463666e-09   9.431110e-01   3.263700e-01  -2.052465e-05  -2.155093e+00   5.915095e+00  -4.877096e-04
  -2.829724e-06  -9.812445e-07   6.174293e-11   6.478892e-06  -1.774791e-05   1.463421e-09   9.428955e-01   3.269615e-01  -2.057343e-05  -2.158839e+00   5.913799e+00  -4.876281e-04
  -2.829076e-06  -9.830194e-07   6.188929e-11   6.490132e-06  -1.774401e-05   1.463176e-09   9.426796e-01   3.275530e-01  -2.062220e-05  -2.162584e+00   5.912500e+00  -4.875464e-04
  -2.828427e-06  -9.847940e-07   6.203562e-11   6.501371e-06  -1.774010e-05   1.462930e-09   9.424633e-01   3.281443e-01  -2.067096e-05  -2.166329e+00   5.911199e+00  -4.874645e-04
  -2.827777e-06  -9.865682e-07   6.218193e-11   6.512607e-06  -1.773619e-05   1.462683e-09   9.422467e-01   3.287355e-01  -2.071971e-05  -2.170073e+00   5.909896e+00  -4.873824e-04
  -2.827126e-06  -9.883420e-07   6.232821e-11   6.523840e-06  -1.773227e-05   1.462436e-09   9.420296e-01   3.293265e-01  -2.076845e-05  -2.173816e+00   5.908590e+00  -4.873000e-04
  -2.826473e-06  -9.901154e-07   6.247447e-11   6.535072e-06  -1.772834e-05   1.462189e-09   9.418122e-01   3.299174e-01  -2.081719e-05  -2.177559e+00   5.907281e+00  -4.872175e-04
  -2.825820e-06  -9.918884e-07   6.262070e-11   6.546301e-06  -1.772441e-05   1.461941e-09   9.415945e-01   3.305082e-01  -2.086591e-05  -2.181300e+00   5.905971e+00  -4.871348e-04
  -2.825165e-06  -9.936610e-07   6.276691e-11   6.557528e-06  -1.772047e-05   1.461692e-09   9.413763e-01   3.310989e-01  -2.091463e-05  -2.185041e+00   5.904657e+00  -4.870519e-04
  -2.824509e-06  -9.954333e-07   6.291310e-11   6.568753e-06  -1.771652e-05   1.461442e-09   9.411578e-01   3.316894e-01  -2.096334e-05  -2.188781e+00   5.903342e+00  -4.869688e-04
  -2.823852e-06  -9.972051e-07   6.305926e-11   6.579975e-06  -1.771257e-05   1.461192e-09   9.409389e-01   3.322798e-01  -2.101204e-05  -2.192521e+00   5.902024e+00  -4.868855e-04
  -2.823194e-06  -9.989765e-07   6.320539e-11   6.591196e-06  -1.770861e-05   1.460942e-09   9.407196e-01   3.328701e-01  -2.106074e-05  -2.196260e+00   5.900704e+00  -4.868021e-04
  -2.822535e-06  -1.000748e-06   6.335150e-11   6.602413e-06  -1.770464e-05   1.460691e-09   9.405000e-01   3.334602e-01  -2.110942e-05  -2.199997e+00   5.899381e+00  -4.867184e-04
  -2.821875e-06  -1.002518e-06   6.349758e-11   6.613629e-06  -1.770066e-05   1.460439e-09   9.402799e-01   3.340502e-01  -2.115810e-05  -2.203735e+00   5.898056e+00  -4.866345e-04
  -2.821213e-06  -1.004288e-06   6.364364e-11   6.624842e-06  -1.769668e-05   1.460187e-09   9.400595e-01   3.346401e-01  -2.120677e-05  -2.207471e+00   5.896729e+00  -4.865504e-04
  -2.820551e-06  -1.006058e-06   6.378967e-11   6.636053e-06  -1.769268e-05   1.459934e-09   9.398388e-01   3.352298e-01  -2.125543e-05  -2.211207e+00   5.895399e+00  -4.864661e-04
  -2.819887e-06  -1.007828e-06   6.393568e-11   6.647262e-06  -1.768869e-05   1.459680e-09   9.396176e-01   3.358194e-01  -2.130408e-05  -2.214942e+00   5.894067e+00  -4.863817e-04
  -2.819222e-06  -1.009597e-06   6.408166e-11   6.658469e-06  -1.768468e-05   1.459426e-09   9.393961e-01   3.364089e-01  -2.135272e-05  -2.218676e+00   5.892732e+00  -4.862970e-04
  -2.818556e-06  -1.011365e-06   6.422762e-11   6.669673e-06  -1.768067e-05   1.459172e-09   9.391742e-01   3.369982e-01  -2.140136e-05  -2.222409e+00   5.891395e+00  -4.862122e-04
  -2.817889e-06  -1.013134e-06   6.437355e-11   6.680875e-06  -1.767665e-05   1.458916e-09   9.389520e-01   3.375874e-01  -2.144998e-05  -2.226142e+00   5.890056e+00  -4.861271e-04
  -2.817221e-06  -1.014902e-06   6.451946e-11   6.692074e-06  -1.767262e-05   1.458660e-09   9.387293e-01   3.381764e-01  -2.149860e-05  -2.229873e+00   5.888714e+00  -4.860418e-04
