 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20              1          53366      -1.983832      0.9651585      621.87429      3790.5279             12      0.1752956   0.0034065378
             20            2.4          53366     -1.2360292     0.45456728      580.70038      3589.9805             12      0.1962434     0.27049639
             20              1          57223     -1.9914786     0.98768158      356.97693       1248.863             12       0.183738   0.0020693449
             20            2.4          57223     -1.2300339     0.44205138      573.07955      3560.2547             12      0.1805023     0.27264168
             20              1          61359     -1.9929097     0.99179237      283.39756      744.61497             12      0.1986375    0.001783534
             20            2.4          61359     -1.2362628      0.4525126      582.19357      3592.6011             12      0.2040338     0.27025183
             20              1          65793      -1.990964     0.98325777      338.72015       2000.038             12      0.2142137   0.0020638525
             20            2.4          65793     -1.2321173     0.43611383      559.14127      3781.6538             12      0.2194854      0.2719448
             20              1          70548     -1.9776534     0.94411302      813.39143      6253.3498             12      0.2234781   0.0043931791
             20            2.4          70548     -1.2333257     0.44520986      572.75485       3560.349             12      0.2263615     0.27160944
             20              1          75646     -1.9890415     0.97752417      419.21532      2645.8712             12      0.2442133   0.0024181315
             20            2.4          75646     -1.2390032     0.45471424      565.51596      3509.1338             12      0.2474575     0.26923247
             20              1          81113     -1.9922818     0.98746722      280.27327      1421.0815             12       0.260345   0.0018219463
             20            2.4          81113     -1.2408395     0.45875755      577.82277      3667.0284             12      0.2643757     0.26846413
             20              1          86974     -1.9868717      0.9721534      482.61597      3132.9661             12       0.279161    0.002751515
             20            2.4          86974       -1.23949     0.45495064      565.53286      3558.5643             12      0.2831813     0.26905173
             20              1          93260     -1.9882013     0.97354336      420.48409      3216.2701             12      0.2997835   0.0024964654
             20            2.4          93260     -1.2448602     0.46534819      576.12061      3594.1553             12      0.3042005     0.26706858
             20              1         100000     -1.9833548     0.95832761      593.98597      4965.9067             12       0.327077   0.0033022888
             20            2.4         100000     -1.2350038     0.44819933      578.72144      3585.4948             12      0.3237128     0.27082419
             20              1         107226     -1.9914447       0.984599      294.38644      1715.1418             12      0.3470564   0.0019100918
             20            2.4         107226     -1.2391888     0.45737633       574.2906      3583.5149             12      0.3506508     0.26907791
             20              1         114975     -1.9914538     0.98380641      289.52163      1955.5409             12       0.371793   0.0018868671
             20            2.4         114975     -1.2381349     0.45564618      576.38834      3506.7259             12      0.3776861     0.26963178
             20              1         123284     -1.9882652     0.97547818      414.30087      2750.0606             12      0.4064944   0.0024611361
             20            2.4         123284     -1.2428724      0.4677699      565.14422        3465.96             12      0.4055483     0.26768409
             20              1         132194     -1.9908624     0.98159518      307.75755      2224.8664             12      0.4405635    0.001991995
             20            2.4         132194     -1.2415936     0.46139441      570.72142      3487.1636             12      0.4346358     0.26829855
             20              1         141747     -1.9942012     0.99296435      171.94852      663.76534             12      0.4698832   0.0013743064
             20            2.4         141747     -1.2437384     0.46993299       567.2981       3432.425             12      0.4673476     0.26749764
             20              1         151991     -1.9939001     0.99071724      183.16997      1076.7165             12      0.5015974   0.0014084634
             20            2.4         151991     -1.2421812      0.4609209      569.24567       3566.032             12      0.5084679     0.26808067
             20              1         162975     -1.9871447     0.96897707      438.01045       3836.269             12      0.5470866   0.0026100311
             20            2.4         162975     -1.2351459     0.44968769      565.66283      3568.4356             12      0.5440979     0.27074391
             20              1         174752     -1.9883315     0.97181429       389.8005       3596.168             12      0.5814806   0.0024111752
             20            2.4         174752     -1.2390937     0.45519246      566.27924      3570.0013             12      0.5837014     0.26923003
             20              1         187381     -1.9870334     0.96845943      431.48992      3893.8844             12      0.6313877   0.0026135738
             20            2.4         187381     -1.2412025     0.46237317      564.55625      3491.5241             12      0.6296218     0.26853786
             20              1         200923     -1.9845981     0.96031423      519.20605      4857.2757             12      0.6695756   0.0030172755
             20            2.4         200923     -1.2360976     0.45130766      564.11928      3552.8925             12      0.6798632     0.27025634
             20              1         215443     -1.9916114     0.98334996      259.49002      2002.4417             12      0.7286503    0.001818674
             20            2.4         215443     -1.2389153     0.45760903      562.20156      3510.1207             12      0.7262383     0.26924836
             20              1         231012     -1.9942585     0.99217056      152.39402      815.10194             12      0.7893776   0.0013264571
             20            2.4         231012     -1.2372074     0.45209418      570.25446      3588.2566             12      0.7932513     0.26989343
             20              1         247707     -1.9924614     0.98546121      218.77178      1751.4006             12      0.8498181   0.0016342911
             20            2.4         247707     -1.2383904     0.45271779      559.70704       3549.464             12      0.8445849     0.26944244
             20              1         265608     -1.9903996     0.97970859       296.9052      2366.6312             12      0.9059447   0.0019730675
             20            2.4         265608     -1.2356194     0.45071766       553.0621      3466.5543             12      0.9422697     0.27046474
             20              1         284803      -1.995012     0.99370755      115.05971      674.29838             12      1.0399416   0.0011641863
             20            2.4         284803     -1.2360141     0.45040532      567.26429      3579.8839             12      1.0017931     0.27042548
             20              1         305385     -1.9938131     0.98971885      160.35702      1190.1443             12       1.182262   0.0013696277
             20            2.4         305385         -1.237     0.45369118      566.61156      3549.2225             12      1.1987013     0.27002823
             20              1         327454     -1.9937764     0.98941641       162.6353      1264.9173             12      1.2256495   0.0013841247
             20            2.4         327454     -1.2369115     0.45300715      565.24624      3539.2347             12      1.1401182     0.27006249
             20              1         351119     -1.9937955     0.98976141      157.60195      1183.4732             12      1.2584922   0.0013612889
             20            2.4         351119     -1.2349849     0.45071904      556.39564      3518.2133             12      1.3347561     0.27070867
             20              1         376493     -1.9942982     0.99150599      140.65284      943.14329             12       1.429254   0.0012834686
             20            2.4         376493     -1.2343654     0.44724722      559.02666      3565.6188             12      1.4112803     0.27096615
             20              1         403701     -1.9943557       0.991314      136.32147      990.62386             12      1.4029115    0.001265123
             20            2.4         403701     -1.2351736     0.44849228      567.11607      3585.1397             12      1.4228433     0.27066831
             20              1         432876     -1.9951248     0.99362819      103.91682      701.29347             12      1.5061499    0.001123272
             20            2.4         432876     -1.2363427     0.45081385      564.73418      3574.0622             12      1.5191146     0.27019104
             20              1         464158     -1.9929585     0.98657438      186.72643      1620.7872             12      1.6169554   0.0015019702
             20            2.4         464158     -1.2380187     0.45625209      569.85563      3540.8782             12      1.8004345     0.26965889
             20              1         497702     -1.9932126     0.98732796      174.12488      1530.5497             12      1.7964937   0.0014477262
             20            2.4         497702     -1.2361449     0.45209419      562.10668      3528.4482             12      1.9054296     0.27029679
             20              1         533669     -1.9948261     0.99286315      114.35821      801.29757             12      1.8848236   0.0011847032
             20            2.4         533669     -1.2378483     0.45603846       561.6918      3512.8442             12      1.8782579      0.2696458
             20              1         572236     -1.9947823     0.99228113      113.59513      900.21878             12      2.0104261   0.0011785874
             20            2.4         572236     -1.2373217     0.45417198       563.2917      3519.0511             12      2.0385256     0.26986736
             20              1         613590     -1.9964386     0.99752825      48.971676      215.65971             12      2.1711402  0.00088643172
             20            2.4         613590     -1.2366762     0.45246965      564.83625      3542.9447             12      2.1894646     0.27014572
             20              1         657933     -1.9956675     0.99507594      78.135654      524.37022             12      2.3228368   0.0010137248
             20            2.4         657933     -1.2355141     0.45208467      565.30287      3526.2938             12      2.3602185     0.27050813
             20              1         705480     -1.9953344     0.99417773      92.029145      610.80318             12      2.4926539   0.0010730389
             20            2.4         705480     -1.2391685     0.45820198      568.95835       3531.171             12      2.5656149     0.26912151
             20              1         756463     -1.9948355      0.9920366      110.48661      939.47651             12      2.6799322   0.0011578151
             20            2.4         756463     -1.2355471     0.45032991      561.31239      3536.0314             12      2.7188695     0.27054669
             20              1         811130     -1.9960856     0.99628013       61.57533      377.00232             12      2.8925378  0.00094168322
             20            2.4         811130     -1.2372479     0.45455853      565.00252      3524.1484             12      2.9154961     0.26992392
             20              1         869749     -1.9966442     0.99808776      37.908659      131.27351             12      3.1040948  0.00083777049
             20            2.4         869749     -1.2376065     0.45536751      565.92736      3529.4276             12       3.128838     0.26978415
             20              1         932603     -1.9960881      0.9962263       59.80634      383.70339             12      3.3379878  0.00093914733
             20            2.4         932603      -1.236517     0.45294804      562.61002       3535.173             12      3.3700742     0.27024651
             20              1        1000000     -1.9959713     0.99576236      63.112136      455.24941             12      3.5903681  0.00095654564
             20            2.4        1000000     -1.2360193     0.45306223      564.94898      3523.5868             12      3.6063506     0.27035546
