 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20              1          20092     -1.9971272     0.99926837    0.024244143   0.0016075055             12      0.0740736  0.00070500673
             20            2.4          20092     -1.2172083     0.43564173      1.3624329      6.9669401             12      0.0705756     0.27690462
             20              1          21544     -1.9971704     0.99927869     0.02402359   0.0016021315             12       0.080576  0.00071040641
             20            2.4          21544      -1.226147     0.45253349      1.4328921      7.2766717             12      0.0767373      0.2734572
             20              1          23101     -1.9970962     0.99925977    0.024366306   0.0016249012             12      0.0831607  0.00072724126
             20            2.4          23101     -1.2277655     0.45429224      1.4076996      7.1192989             12      0.0884522      0.2727633
             20              1          24770     -1.9972144     0.99929027    0.023386222   0.0015570926             12      0.0883443  0.00071699642
             20            2.4          24770     -1.2327452     0.46641985      1.4176309      7.1664512             12      0.0887245     0.27094056
             20              1          26560     -1.9972839     0.99930855    0.022699689   0.0015079285             12      0.1004451  0.00069587728
             20            2.4          26560     -1.2400658     0.48128137       1.446898      7.3001352             12      0.0946186     0.26817914
             20              1          28480     -1.9973076     0.99931531    0.022566655   0.0014936593             12      0.1048003  0.00068258442
             20            2.4          28480     -1.2435186     0.48711654      1.4289331      7.0584904             12      0.1024042      0.2669935
             20              1          30538     -1.9973292      0.9993215    0.022185691   0.0014642894             12      0.1110302  0.00069601713
             20            2.4          30538     -1.2431529     0.48778591      1.4038081      6.9764756             12      0.1093031      0.2671947
             20              1          32745     -1.9973211      0.9993202    0.022093263   0.0014532634             12       0.121762  0.00068896072
             20            2.4          32745     -1.2468633     0.49574681      1.3843275      6.8718929             12      0.1200095     0.26574416
             20              1          35111     -1.9973513     0.99932841    0.021787687    0.001429343             12      0.1250909  0.00069736006
             20            2.4          35111     -1.2468858      0.4933503      1.3352181      6.7638475             12      0.1344326     0.26588859
             20              1          37649     -1.9974151     0.99934421    0.021227988    0.001395078             12      0.1356113  0.00070453393
             20            2.4          37649     -1.2462406     0.49440891      1.3195533        6.55986             12      0.1355586     0.26599032
             20              1          40370     -1.9973366     0.99932524    0.022036514   0.0014408678             12      0.1467855  0.00071042856
             20            2.4          40370      -1.243706     0.48862955      1.2999726      6.6807573             12      0.1493746     0.26710397
             20              1          43287     -1.9973941     0.99934022    0.021546041    0.001406026             12      0.1629143  0.00070690973
             20            2.4          43287     -1.2425088     0.48703227      1.2809486       6.591691             12      0.1619871     0.26754077
             20              1          46415     -1.9974017     0.99933944    0.021529649   0.0014258085             12      0.1710587  0.00071356287
             20            2.4          46415     -1.2415036     0.48724606      1.3119387      6.7175253             12      0.1764084     0.26772602
             20              1          49770     -1.9973044     0.99931284      0.0224196   0.0014988879             12      0.1812924  0.00073186657
             20            2.4          49770     -1.2412268     0.48731031      1.3096846      6.7576841             12      0.1815378      0.2679244
             20              1          53366     -1.9973151     0.99931642    0.022247228   0.0014815647             12      0.1912062  0.00073192671
             20            2.4          53366     -1.2385298     0.48071301      1.3357218       7.056744             12      0.2026882     0.26883723
             20              1          57223     -1.9972986     0.99931208    0.022349221   0.0014885268             12      0.2178929  0.00073624231
             20            2.4          57223     -1.2368534     0.47711436      1.3301399      7.0757678             12      0.2082446     0.26931919
             20              1          61359     -1.9972636     0.99930369    0.022642911   0.0015037733             12      0.2246405  0.00073347021
             20            2.4          61359      -1.231986     0.46026167      1.3044575      7.5796065             12      0.2230821     0.27122325
             20              1          65793     -1.9972459      0.9992978    0.022836223   0.0015245287             12      0.2337137  0.00073427257
             20            2.4          65793     -1.2292478     0.44537699      1.2648836      7.8858527             12      0.2478712     0.27235032
             20              1          70548     -1.9972682      0.9993026    0.022638407   0.0015166301             12      0.2813538  0.00072121109
             20            2.4          70548      -1.224346     0.42761184      1.2833066      8.4418175             12      0.2536421     0.27406829
             20              1          75646     -1.9972326     0.99929309    0.022895484   0.0015375454             12      0.2721315   0.0007268062
             20            2.4          75646     -1.2184934     0.41817554      1.2885435      8.4817266             12      0.2749383     0.27615141
             20              1          81113     -1.9972557     0.99929876    0.022699763   0.0015253449             12      0.2905264  0.00072531531
             20            2.4          81113     -1.2195974     0.41894877      1.3060792      8.5406973             12      0.3044315     0.27597012
             20              1          86974     -1.9972578     0.99929887    0.022635658   0.0015234207             12      0.3160725  0.00072156592
             20            2.4          86974     -1.2226444      0.4238042      1.3066577      8.4891215             12      0.3166499     0.27504399
             20              1          93260     -1.9973118     0.99931219     0.02213027   0.0014926251             12      0.3383067   0.0007161698
             20            2.4          93260     -1.2237173     0.41868977      1.3208152      8.8900058             12      0.3360868     0.27471912
             20              1         100000     -1.9972784       0.999304    0.022563558   0.0015198336             12      0.3669323  0.00071940001
             20            2.4         100000     -1.2251574     0.42162635      1.3149925      8.8540213             12       0.368749     0.27418198
             20              1         107226     -1.9972408     0.99929537    0.022939424    0.001537636             12       0.383885  0.00071855239
             20            2.4         107226      -1.229384     0.43271628      1.3501524      8.8244071             12      0.3853743     0.27262662
             20              1         114975     -1.9972029     0.99928663     0.02330539   0.0015550831             12      0.4152114  0.00071967818
             20            2.4         114975     -1.2309298      0.4353135      1.3833966      8.9923543             12      0.4177576     0.27213614
             20              1         123284     -1.9972043     0.99928746    0.023171371   0.0015432068             12      0.4484059   0.0007179358
             20            2.4         123284     -1.2357224     0.44537202      1.4021716      9.0117716             12      0.4461047      0.2703668
             20              1         132194     -1.9972077     0.99928832    0.022959351   0.0015294038             12      0.4833088  0.00072302828
             20            2.4         132194     -1.2354158     0.44337198       1.395313      9.0366823             12       0.486694     0.27052366
             20              1         141747     -1.9972164     0.99929141    0.022873774    0.001517717             12      0.5024532  0.00072128511
             20            2.4         141747     -1.2360427     0.44763279      1.3866429      8.8547401             12      0.5069837     0.27025567
             20              1         151991     -1.9972154     0.99929141    0.022911436   0.0015179435             12      0.5484313  0.00071885839
             20            2.4         151991     -1.2396864     0.45568346      1.4064542      8.8791783             12       0.567805      0.2687794
             20              1         162975     -1.9971718     0.99927915    0.023463826   0.0015622394             12      0.6593223  0.00072084676
             20            2.4         162975     -1.2428667      0.4654755       1.398234      8.7214742             12      0.5855265     0.26755929
